"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"141"," Timor-Leste","33.4","","32.9","","33.0","","30.6","","30.8","","31.1","","30.1","","27.7","","28.0","","28.1",""
"167"," Togo","33.0","","33.6","","33.6","","32.8","","33.5","","31.9","","31.3","","31.6","","31.8","","31.8",""
"67"," Trinidad and Tobago","15.6","","15.2","","15.3","","15.2","","15.3","","15.3","","14.9","","..","","..","","..",""
"95"," Tunisia","25.3","","25.1","","..","","..","","22.0","","22.5","","22.0","","22.1","","20.9","","19.5",""
"54"," Turkey","23.7","","22.4","","22.5","","15.7","","15.8","","16.0","","15.3","","15.5","","16.2","","16.7",""
"111"," Turkmenistan","26.3","","..","","..","","..","","..","","..","","18.6","","18.5","","18.6","","18.0",""
"159"," Uganda","32.1","","33.5","","33.7","","30.8","","30.3","","30.9","","29.7","","28.2","","26.6","","26.7",""
"74"," Ukraine","8.2","","9.2","","9.2","","9.1","","7.8","","7.2","","6.8","","6.5","","6.6","","6.5",""
"13"," United Kingdom","9.6","","8.4","","8.3","","8.9","","8.6","","8.0","","10.5","","9.4","","8.2","","8.2",""
"17"," United States","11.4","","15.3","","12.4","","17.3","","17.1","","13.6","","13.3","","13.7","","13.4","","12.7",""
"55"," Uruguay","16.0","","16.4","","16.4","","16.1","","14.4","","15.8","","14.7","","14.4","","13.0","","12.9",""
"106"," Uzbekistan","15.5","","14.9","","15.9","","15.9","","15.8","","15.8","","13.2","","..","","..","","..",""
"140"," Vanuatu","..","","..","","..","","..","","17.2","","17.2","","16.7","","17.1","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","21.1","","26.5","","26.6","","19.7","","19.7","","19.4","","18.2","","16.4","","17.3","","17.3",""
"117"," Viet Nam","16.3","","14.0","","14.1","","15.0","","17.4","","17.7","","17.3","","17.4","","16.3","","16.5",""
"179"," Yemen","34.2","","32.4","","32.3","","32.8","","34.1","","33.7","","31.4","","31.9","","31.8","","31.7",""
"146"," Zambia","31.5","","29.4","","36.6","","35.0","","34.4","","35.7","","34.0","","34.1","","33.5","","31.3",""
"150"," Zimbabwe","29.9","","28.7","","28.4","","27.2","","27.1","","28.6","","23.7","","23.6","","22.8","","22.8",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42"," Bahrain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"70"," Cuba","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"145"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"64"," Kuwait","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"105"," Libya","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Malaysia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"45"," Qatar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40"," Saudi Arabia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"104"," Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"97"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111"," Samoa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
